,Zipcode,Property Type,Square Feet,Bedrooms,Bathrooms,Review Scores Rating,Accommodates,Amenities,Cleaning Fee,Cancellation Policy,Latitude,Longitude,Price
103863,98101,Apartment,1150.0,2.0,2.0,96.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Pool,Kitchen,Free Parking on Premises,Doorman,Gym,Elevator in Building,Hot Tub,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",99.0,strict,47.61349950683074,-122.33802720382238,165.0
104015,98115,Apartment,450.0,0.0,1.0,98.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Essentials,Shampoo",60.0,moderate,47.69276712905962,-122.32864531263664,80.0
104039,94608,Loft,1300.0,2.0,2.0,88.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Indoor Fireplace,Buzzer/Wireless Intercom,Heating,Washer,Dryer,Smoke Detector,Fire Extinguisher,Shampoo,Hangers,Hair Dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",200.0,moderate,37.820997597137726,-122.2781740592808,150.0
104061,94611,House,120.0,1.0,1.0,87.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Pets Allowed,Indoor Fireplace,Heating,Washer,Dryer",75.0,strict,37.825689533935055,-122.2455518835556,75.0
104089,94609,Apartment,0.0,2.0,1.0,91.0,4.0,"TV,Internet,Wireless Internet,Kitchen,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Essentials,Shampoo,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",75.0,strict,37.847625550011884,-122.26047027938112,179.0
104151,92107,House,1500.0,3.0,2.0,95.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Hot Tub,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",100.0,strict,32.733776061094886,-117.24450303506357,235.0
104393,94117,House,1400.0,2.0,1.0,100.0,5.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly",125.0,moderate,37.76073294998579,-122.44716734822731,500.0
104603,98103,House,1200.0,2.0,1.0,99.0,4.0,"TV,Wireless Internet,Kitchen,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,Shampoo",60.0,moderate,47.65243415609309,-122.3378533128977,150.0
104623,98122,House,1800.0,3.0,3.5,96.0,6.0,"TV,Cable TV,Wireless Internet,Kitchen,Free Parking on Premises,Pets Allowed,Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer",195.0,strict,47.61286679515595,-122.2984791320944,295.0
104722,98108,Other,170.0,1.0,3.0,93.0,2.0,"Internet,Wireless Internet,Kitchen,Free Parking on Premises,Pets live on this property,Dog(s),Heating,Smoke Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo",10.0,moderate,47.54969070926658,-122.31867911342043,70.0
104876,98102,House,900.0,2.0,1.0,84.0,7.0,"Internet,Wireless Internet,Kitchen,Free Parking on Premises,Pets Allowed,Heating,Family/Kid Friendly,Essentials,Shampoo",40.0,moderate,47.6365043077423,-122.31930477017605,129.0
104932,97212,House,550.0,1.0,1.0,98.0,3.0,"TV,Cable TV,Internet,Wireless Internet,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox",25.0,moderate,45.54331000373017,-122.66271967337968,69.0
105138,20037,Apartment,575.0,0.0,1.0,86.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Gym,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace,Private entrance",150.0,super_strict_30,38.90394782423913,-77.05344085016164,155.0
105192,94611,House,2500.0,3.0,3.0,100.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,Shampoo",120.0,moderate,37.838648140352895,-122.20342331130988,245.0
105219,94618,House,1300.0,2.0,1.0,97.0,8.0,"Internet,Wireless Internet,Kitchen,Free Parking on Premises,Indoor Fireplace,Heating,Family/Kid Friendly,Suitable for Events,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",95.0,strict,37.84497350643985,-122.25551459204547,269.0
105344,94103,Loft,1000.0,1.0,1.0,100.0,3.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox",100.0,strict,37.77349633001123,-122.40094349585328,324.0
105537,92014,House,4000.0,5.0,3.0,100.0,8.0,"TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Pets Allowed,Breakfast,Pets live on this property,Dog(s),Other pet(s),Indoor Fireplace,Heating,Family/Kid Friendly,Suitable for Events,Washer,Dryer,Smoke Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",250.0,strict,32.954592090287235,-117.24812421766764,800.0
105548,92108,Apartment,667.0,1.0,1.0,97.0,5.0,"TV,Internet,Wireless Internet,Air Conditioning,Wheelchair Accessible,Pool,Kitchen,Free Parking on Premises,Pets live on this property,Other pet(s),Elevator in Building,Hot Tub,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",20.0,moderate,32.786099322429344,-117.10663685516005,109.0
105562,92110,Condominium,1200.0,2.0,2.0,100.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Pets Allowed,Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",120.0,strict,32.76795231422568,-117.18696737734028,179.0
105661,92128,House,32292.0,1.0,1.0,100.0,2.0,"Wireless Internet,Air Conditioning,Pool,Kitchen,Free Parking on Premises,Pets live on this property,Dog(s),Heating,Family/Kid Friendly",30.0,moderate,32.93693631880872,-117.07585966362137,148.0
105679,92139,Townhouse,0.0,3.0,2.5,84.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Indoor Fireplace,Heating,Family/Kid Friendly,Suitable for Events,Washer,Dryer,Smoke Detector,24-Hour Check-in,Iron,Laptop Friendly Workspace",50.0,flexible,32.69099190084773,-117.02566912804376,275.0
105683,94103,Apartment,401.0,1.0,1.0,91.0,3.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Iron",60.0,strict,37.76670126086466,-122.41992050804707,198.0
105702,94118,House,3000.0,1.0,1.0,87.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Pets live on this property,Dog(s),Indoor fireplace,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",30.0,flexible,37.77349011156693,-122.46606590282259,350.0
105709,94123,Apartment,400.0,1.0,1.0,85.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox",75.0,strict,37.80094060612985,-122.4274962644957,165.0
105710,94124,House,800.0,2.0,1.0,93.0,4.0,"TV,Internet,Wireless Internet,Kitchen,Indoor fireplace,Family/kid friendly,Suitable for events,Washer,Dryer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",150.0,strict,37.715486716683905,-122.38922416156313,120.0
105729,95065,House,2400.0,3.0,2.5,97.0,7.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer,Essentials,Shampoo",125.0,strict,36.98973551544249,-121.98730038801716,450.0
105886,97202,Apartment,650.0,1.0,1.0,97.0,4.0,"TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Keypad,Private living room,Private entrance",30.0,moderate,45.468661743693104,-122.65448808984785,100.0
105888,97206,House,1000.0,2.0,1.0,97.0,3.0,"TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector",100.0,moderate,45.48804949900993,-122.6177848693882,70.0
105910,98102,Apartment,0.0,0.0,1.0,90.0,2.0,"Internet,Wireless Internet,Air Conditioning,Kitchen,Heating,Washer,Dryer,Smoke Detector,First Aid Kit,Essentials,Shampoo",25.0,flexible,47.61865424428635,-122.31420909882591,115.0
105947,98125,House,250.0,1.0,1.0,76.0,2.0,"Cable TV,Wireless Internet,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Smoke Detector,Essentials,Shampoo",20.0,moderate,47.7258816611029,-122.30106314614146,54.0
105959,98117,Apartment,500.0,1.0,1.0,98.0,2.0,"TV,Cable TV,Wireless Internet,Kitchen,Free Parking on Premises,Pets live on this property,Dog(s),Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Essentials,Shampoo",50.0,moderate,47.67716562002254,-122.36169283150076,95.0
105966,97217,House,900.0,2.0,1.0,100.0,4.0,"Internet,Wireless Internet,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Smartlock,Private entrance",110.0,moderate,45.562229736103575,-122.67664139956995,115.0
106075,94605,House,2.0,2.0,1.5,91.0,5.0,"TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",125.0,strict,37.778483187472666,-122.17737954786881,175.0
106348,78704,House,2000.0,2.0,2.0,98.0,4.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",100.0,strict,30.246040563557855,-97.75328701342384,470.0
106422,78702,House,1400.0,6.0,3.0,99.0,15.0,"TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Smartlock",200.0,strict,30.25807922926252,-97.72577460593064,600.0
106505,78722,House,1850.0,3.0,1.5,100.0,4.0,"Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer",70.0,moderate,30.28593468815318,-97.72080466719663,350.0
106525,78703,House,2200.0,1.0,2.5,100.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Dog(s),Indoor fireplace,Heating,Washer,Dryer,Smoke detector,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",100.0,strict,30.27443230747224,-97.76142359223732,150.0
